title	url	venue	year	reason	dismissed
Generative Artificial Intelligence and Diffusion models in Drug Discovery: A Critical Review	https://doi.org/10.1016/j.engappai.2026.115827	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
How recycling technologies play stage-specific roles in renewable energy and energy storage systems? Insights from a patent claim analysis	https://doi.org/10.1016/j.engappai.2026.114287	Engineering Applications of AI	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Intellectual property protection for deep learning model and dataset intelligence	https://doi.org/10.1016/j.engappai.2025.113024	Engineering Applications of AI	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
CSLLM: Code-Specific Large Language Models—A Survey	https://doi.org/10.1016/j.eswa.2025.130991	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
A survey On large language models for medical time series	https://doi.org/10.1016/j.eswa.2026.131364	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
A classification framework of large language model in the post-transformer era	https://doi.org/10.1016/j.eswa.2026.133034	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
An AI-driven framework for furniture design integrating NLP and multi-criteria decision making based on online user reviews	https://doi.org/10.1016/j.eswa.2026.132164	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
BabeLLM: A unified taxonomy for NLP-based LLM cybersecurity applications	https://doi.org/10.1016/j.eswa.2026.133540	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
The technological and societal co-evolution landscape of AI medical conversational agents: An LLM-enhanced quantitative textual review	https://doi.org/10.1016/j.eswa.2026.132026	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
What the doodle: Sketching mental pictures with decoding brain signals, language understanding, and AI creativity	https://doi.org/10.1016/j.eswa.2026.133292	Expert Systems with Applications	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
The status, evolution, and future challenges of multimodal large language models (LLMs) in parametric CAD	https://doi.org/10.1016/j.eswa.2025.127520	Expert Systems with Applications	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Interpretable LLMs for credit risk: A systematic review and taxonomy	https://doi.org/10.1016/j.eswa.2025.130941	Expert Systems with Applications	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Stylometry recognizes human and LLM-generated texts in short samples	https://doi.org/10.1016/j.eswa.2025.129001	Expert Systems with Applications	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Leveraging timeline integration methods for effective suicidal ideation detection	https://doi.org/10.1016/j.eswa.2025.130190	Expert Systems with Applications	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Towards a methodology for ethical artificial intelligence system development: A necessary trustworthiness taxonomy	https://doi.org/10.1016/j.eswa.2025.128034	Expert Systems with Applications	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Now and future of artificial intelligence-based signet ring cell diagnosis: A survey	https://doi.org/10.1016/j.eswa.2025.129188	Expert Systems with Applications	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Empowering Firms With AI-Generated Content: Strategic Approaches to R&D and Advertising in the Era of Generative AI	https://doi.org/10.1109/tem.2025.3552142	IEEE Trans. Engineering Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Charting the Unseen: A Systematic Review of Risk Perception in Emerging Technologies	https://doi.org/10.1109/tem.2025.3604850	IEEE Trans. Engineering Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Artificial Intelligence and Consumer Information Search: A Review, Synthesis, and Propositions	https://doi.org/10.1109/tem.2025.3648018	IEEE Trans. Engineering Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Chatbot Adoption: A Multiperspective Systematic Review and Future Research Agenda	https://doi.org/10.1109/tem.2023.3298360	IEEE Trans. Engineering Management	2023	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Dynamic knowledge landscape construction for AI-driven emergency decision-making: An STM-LLM framework with triple-LLM synergistic labeling	https://doi.org/10.1016/j.ipm.2026.104773	Information Processing & Management	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Farsi Natural Language Processing: A Survey	https://doi.org/10.1016/j.ipm.2026.104912	Information Processing & Management	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Knowledge graph validation by integrating LLMs and human-in-the-loop	https://doi.org/10.1016/j.ipm.2025.104145	Information Processing & Management	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Transformer-based large language foundation models for text generation: A comprehensive literature review for different languages and application domains	https://doi.org/10.1016/j.ipm.2025.104477	Information Processing & Management	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
SMR-agents: Synergistic medical reasoning agents for zero-shot medical visual question answering with MLLMs	https://doi.org/10.1016/j.ipm.2025.104297	Information Processing & Management	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
From text mining to intelligent debate: Task frameworks and technological evolution in computational argumentation	https://doi.org/10.1016/j.ipm.2025.104465	Information Processing & Management	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Is generative AI reshaping academic practices worldwide? A survey of adoption, benefits, and concerns	https://doi.org/10.1016/j.ipm.2025.104350	Information Processing & Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
A quasi-experimental analysis of capabilities and limitations of generative AI in academic content evaluation in social sciences	https://doi.org/10.1016/j.ipm.2025.104365	Information Processing & Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Technology convergence prediction based on temporal heterogeneous graph neural networks	https://doi.org/10.1016/j.ipm.2024.104034	Information Processing & Management	2024	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
The Impact of Generative AI on Collaborative Open-Source Software Development: Evidence from GitHub Copilot	https://doi.org/10.1287/isre.2024.1361	Information Systems Research	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
A TOPIC MODELLING-DRIVEN SYSTEMATIC MAPPING OF GENERATIVE AI AND CREATIVITY RESEARCH: TOWARD A CONCEPTUAL FRAMEWORK	https://doi.org/10.1142/s1363919626500210	International Journal of Innovation Management	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Computer vision in branding: A conceptual framework and future research agenda	https://doi.org/10.1016/j.jbusres.2025.115329	Journal of Business Research	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative artificial intelligence in innovation management: A preview of future research developments	https://doi.org/10.1016/j.jbusres.2024.114542	Journal of Business Research	2024	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Women entrepreneurship in China: A bibliometric literature review and future research agenda	https://doi.org/10.1016/j.jbusres.2024.114688	Journal of Business Research	2024	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Retraction Trends in Sub-Saharan Africa (2000–2024): A Multidisciplinary Analysis of Retraction Reasons, Collaboration Patterns, and Publishing Characteristics	https://doi.org/10.1515/jdis-2025-0297	Journal of Data and Information Science	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Research on AI-driven innovations and services in academic libraries: A bibliometric and systematic literature review	https://doi.org/10.2478/jdis-2025-0036	Journal of Data and Information Science	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative AI-enabled chatbots for user-centred design: a state-of-the-art review	https://doi.org/10.1080/09544828.2026.2633488	Journal of Engineering Design	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Multimodal generative AI product design based on cultural philosophy and quantitative constraints	https://doi.org/10.1080/09544828.2026.2637036	Journal of Engineering Design	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
From deep learning to generative AI: research status and prospects of product appearance design in the artificial intelligence era	https://doi.org/10.1080/09544828.2025.2605859	Journal of Engineering Design	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Facilitating police equipment design via retrieval-augmented generation with knowledge graphs and small language models	https://doi.org/10.1080/09544828.2026.2639936	Journal of Engineering Design	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Affectivegen: an exploring methodology for emotional design implementation	https://doi.org/10.1080/09544828.2026.2650610	Journal of Engineering Design	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Functional requirements mining for mass personalisation: a heterogeneous data-driven knowledge graph approach to enable product rapid design	https://doi.org/10.1080/09544828.2026.2700685	Journal of Engineering Design	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
The study of human-AI Co-creation design under generative artificial intelligence: cognition, process, method, and outcome	https://doi.org/10.1080/09544828.2025.2567155	Journal of Engineering Design	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Semantic characterization of ideation: a computational framework using vector embedding and clustering	https://doi.org/10.1080/09544828.2025.2537465	Journal of Engineering Design	2025	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
GC-GTM: A generative-convergent extension of generative topographic mapping for discovering and interpreting technology opportunities	https://doi.org/10.1016/j.joi.2026.101807	Journal of Informetrics	2026	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
The diffusion of artificial intelligence methods in scientific research: growth pattern, disciplinary variation, and task alignment	https://doi.org/10.1016/j.joi.2026.101858	Journal of Informetrics	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Acknowledging the new invisible colleague: Addressing the recognition of Open AI contributions in in scientific publishing	https://doi.org/10.1016/j.joi.2025.101642	Journal of Informetrics	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Leveraging patent classification based on deep learning: The case study on smart cities and industrial Internet of Things	https://doi.org/10.1016/j.joi.2024.101616	Journal of Informetrics	2024	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Guest Editorial: Sustainable, smart and inclusive growth within entrepreneurial and innovation knowledge-driven ecosystems	https://doi.org/10.1108/jkm-03-2026-027	Journal of Knowledge Management	2026	editorial, book review, or special-issue front matter	2026-08-26
Digital transformation: the role of generative AI in the evolution of knowledge management systems	https://doi.org/10.1108/jkm-09-2025-1398	Journal of Knowledge Management	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative artificial intelligence level and firm green knowledge transfer	https://doi.org/10.1108/jkm-04-2026-0819	Journal of Knowledge Management	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
How generative AI reshapes the knowledge creation process: a case study from the perspective of trust	https://doi.org/10.1108/jkm-05-2025-0652	Journal of Knowledge Management	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Editorial: Knowledge, emotion, and innovation – bridging human and digital dimensions in the knowledge economy	https://doi.org/10.1108/jkm-12-2025-012	Journal of Knowledge Management	2025	editorial, book review, or special-issue front matter	2026-08-26
Research on the impact of generative artificial intelligence (GenAI) on enterprise innovation performance: a knowledge management perspective	https://doi.org/10.1108/jkm-10-2024-1198	Journal of Knowledge Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Revisiting ba : How generative AI transforms knowledge creation	https://doi.org/10.1108/jkm-07-2025-1065	Journal of Knowledge Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Large language models in human-robot collaboration: A systematic review, trends, and challenges	https://doi.org/10.1016/j.jmsy.2026.01.011	Journal of Manufacturing Systems	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
From artificial intelligence to augmented intelligence: A review of intelligent forward design of wire harnesses	https://doi.org/10.1016/j.jmsy.2026.04.036	Journal of Manufacturing Systems	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Leveraging large language models in next generation intelligent manufacturing: Retrospect and prospect	https://doi.org/10.1016/j.jmsy.2025.07.019	Journal of Manufacturing Systems	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Industrial Foundation Models (IFMs) for intelligent manufacturing: A systematic review	https://doi.org/10.1016/j.jmsy.2025.06.011	Journal of Manufacturing Systems	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
AI Agents and Agentic AI–navigating a plethora of concepts for future manufacturing	https://doi.org/10.1016/j.jmsy.2025.08.017	Journal of Manufacturing Systems	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
IIoT-enabled digital twin for legacy and smart factory machines with LLM integration	https://doi.org/10.1016/j.jmsy.2025.03.022	Journal of Manufacturing Systems	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
An LLM-guided SD-LDM Digital Twin Construction Strategy (LSDT) for multi-industrial scenarios: Enhancing adaptability and efficiency	https://doi.org/10.1016/j.jmsy.2025.04.019	Journal of Manufacturing Systems	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Parametric-ControlNet: Multimodal Control in Foundation Models for Precise Engineering Design Synthesis	https://doi.org/10.1115/1.4068661	Journal of Mechanical Design	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Special Issue: Design by Data: Cultivating Datasets for Engineering Design	https://doi.org/10.1115/1.4067871	Journal of Mechanical Design	2025	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Data-Driven Car Drag Prediction With Depth and Normal Renderings	https://doi.org/10.1115/1.4065063	Journal of Mechanical Design	2024	out of TIM scope: domain application, not a technology-management task	2026-08-26
A Repurposable Attribute Basis for Identifying Repurposing Opportunities in Decommissioned Products	https://doi.org/10.1115/1.4066127	Journal of Mechanical Design	2024	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
A Brave New World: The Impact of Technology on Innovation Management	https://doi.org/10.1111/jpim.70000	Journal of Product Innovation Management	2025	editorial, book review, or special-issue front matter	2026-08-26
Responsible Artificial Intelligence Attention and Firm Innovation: An Attention‐Based View	https://doi.org/10.1111/jpim.70015	Journal of Product Innovation Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Dynamic AI ‐Embedded Super App: A Design‐Based Process Innovation for Customer Engagement and Value Creation	https://doi.org/10.1111/jpim.70009	Journal of Product Innovation Management	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Opening thoughts from the new Editors	https://doi.org/10.1111/jpim.12772	Journal of Product Innovation Management	2024	editorial, book review, or special-issue front matter	2026-08-26
From the Editors: Engaging with generative artificial intelligence technologies in innovation management research—Some answers and more questions	https://doi.org/10.1111/jpim.12689	Journal of Product Innovation Management	2023	editorial, book review, or special-issue front matter	2026-08-26
Mapping the lifecycle of scientific contributions: From generation and evaluation to impact diffusion	https://doi.org/10.1002/asi.70105	JASIST	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Phantom citations: An empirical study of non‐existent and unverifiable references in scholarly literature	https://doi.org/10.1002/asi.70104	JASIST	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Technical standards within socio‐technical systems: An Annual Review of Information Science and Technology ( ARIST ) paper	https://doi.org/10.1002/asi.25017	JASIST	2025	editorial, book review, or special-issue front matter	2026-08-26
A literature review of user privacy concerns in conversational chatbots: A social informatics approach: An Annual Review of Information Science and Technology (ARIST) paper	https://doi.org/10.1002/asi.24898	JASIST	2024	out of TIM scope: domain application, not a technology-management task	2026-08-26
The myth of artificial intelligence: Why computers can't think the way we do. Erik J. Larson. Cambridge, MA: Harvard University Press, 2021. 320 pp. $29.95 (hardcover). ( ISBN 9780674983519)	https://doi.org/10.1002/asi.24903	JASIST	2024	editorial, book review, or special-issue front matter	2026-08-26
Regurgitative Training: The Value of Real Data in Training Large Language Models	https://doi.org/10.1287/mnsc.2024.07005	Management Science	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Textual Factors: A Scalable, Interpretable, and Data-Driven Approach to Analyzing Unstructured Information	https://doi.org/10.1287/mnsc.2020.01180	Management Science	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
A systematic review and Bayesian network meta-analysis on the efficacy and potential of mobile interventions for stress management	https://doi.org/10.1038/s41562-025-02162-0	Nature Human Behaviour	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
The Turing test is not a good benchmark for thought in LLMs	https://doi.org/10.1038/s41562-023-01710-w	Nature Human Behaviour	2023	out of TIM scope: domain application, not a technology-management task	2026-08-26
Organizational Readiness, AI Literacy, and the New Frontier of R&D: How Generative AI Shapes Innovation Capacity	https://doi.org/10.1111/radm.70038	R&D Management	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Radically Human: How New Technology Is Transforming Business and Shaping Our FutureBy Paul R.Daugherty and H. JamesWilson, Boston, MA, US: Harvard Business Review Press, 2022. 304 p. £10.79 (hardcover). ISBN: 978‐1‐64782‐108‐1	https://doi.org/10.1111/radm.12742	R&D Management	2024	editorial, book review, or special-issue front matter	2026-08-26
Prediction of patent grant using interpretable citation-guided graph neural networks	https://doi.org/10.1007/s11192-025-05515-8	Scientometrics	2026	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Exploring the application of open peer review in academic evaluation: an analysis of H1 Connect recommended papers	https://doi.org/10.1007/s11192-026-05748-1	Scientometrics	2026	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Recommending university-industry collaboration: a topic-institution graph-based solution	https://doi.org/10.1007/s11192-025-05516-7	Scientometrics	2026	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Global overlay map based on DOCDB IPC data for visualizing technological convergence: application in the field of artificial intelligence	https://doi.org/10.1007/s11192-026-05697-9	Scientometrics	2026	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
A hybrid framework for predicting scholarly recognition of authors using network centrality and generative AI embeddings	https://doi.org/10.1007/s11192-026-05609-x	Scientometrics	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Does scientific writing converge to U.S. english? evidence from generative AI-assisted publications	https://doi.org/10.1007/s11192-026-05774-z	Scientometrics	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Beyond existence checks: a cross-database benchmark of bibliographic metadata consistency across academic domains and LLM-generated citations	https://doi.org/10.1007/s11192-026-05727-6	Scientometrics	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Benefits and risks of generative AI in scientific research: a two-layer analysis framework of biomedical publications	https://doi.org/10.1007/s11192-026-05696-w	Scientometrics	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
In-context curriculum learning for enhanced semantic understanding in scientific text mining	https://doi.org/10.1007/s11192-026-05767-y	Scientometrics	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Rise of Generative Artificial Intelligence in Science	https://doi.org/10.1007/s11192-025-05413-z	Scientometrics	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Exploring retrieval-augmented generation for multi-label discipline classification of academic short texts	https://doi.org/10.1007/s11192-025-05472-2	Scientometrics	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Science diplomacy: A global research field? Findings from a bibliometric analysis of the science diplomacy scholarship of the past twenty years	https://doi.org/10.1007/s11192-025-05396-x	Scientometrics	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
The use of artificial intelligence (AI) in research: a review of author guidelines in leading journals across eight social science disciplines	https://doi.org/10.1007/s11192-025-05377-0	Scientometrics	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Using language models to label clusters of scientific documents	https://doi.org/10.1007/s11192-025-05445-5	Scientometrics	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
The use of ChatGPT to find similar institutions for institutional benchmarking	https://doi.org/10.1007/s11192-024-05039-7	Scientometrics	2024	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Automatic gender detection: a methodological procedure and recommendations to computationally infer the gender from names with ChatGPT and gender APIs	https://doi.org/10.1007/s11192-024-05149-2	Scientometrics	2024	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Identification of emerging technology topics (ETTs) using BERT-based model and sematic analysis: a perspective of multiple-field characteristics of patented inventions (MFCOPIs)	https://doi.org/10.1007/s11192-023-04819-x	Scientometrics	2023	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Measuring the commercial potential of science	https://doi.org/10.1002/smj.3720	Strategic Management Journal	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
RETRACTED: AI-generated agents with expert personas in biotechnology: Delphi evaluation of emerging technologies and future trajectories	https://doi.org/10.1016/j.techfore.2026.124621	Technological Forecasting and Social Change	2026	retracted by the publisher	2026-08-26
From patents to predictive analytics: Leveraging R-GCNs for technological opportunity discovery in converging industries	https://doi.org/10.1016/j.techfore.2026.124613	Technological Forecasting and Social Change	2026	not LLM-applied: pre-LLM or non-LLM method	2026-08-26
Examining generative AI and multi-dimensional drivers for sustainable development: A configurational theory approach	https://doi.org/10.1016/j.techfore.2026.124777	Technological Forecasting and Social Change	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative AI for socially responsible and resilient supply chains: Mapping drivers, challenges, risks, practices, and performance measures	https://doi.org/10.1016/j.techfore.2026.124801	Technological Forecasting and Social Change	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Responsible AI in knowledge creation: An exploration of generative AI's opportunities and risks	https://doi.org/10.1016/j.techfore.2026.124570	Technological Forecasting and Social Change	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Trust as institutional infrastructure: Balancing isomorphism and legitimacy in the governance of GenAI for healthcare	https://doi.org/10.1016/j.techfore.2026.124615	Technological Forecasting and Social Change	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Discursively negotiating AI: A social representation theory approach to LLM-based chatbots	https://doi.org/10.1016/j.techfore.2025.124352	Technological Forecasting and Social Change	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Will artificial intelligence drive the advancements in higher education? A tri-phased exploration	https://doi.org/10.1016/j.techfore.2024.123258	Technological Forecasting and Social Change	2024	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Addressing challenges and constructing a blueprint for effective generative AI integration in business operations	https://doi.org/10.1080/09537325.2025.2577709	Technology Analysis & Strategic Management	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Evolving trends, limitations, and ethical considerations in AI-driven conversational interfaces: assessing ChatGPT's impact on healthcare, financial services, and educational sectors	https://doi.org/10.1080/09537325.2024.2420617	Technology Analysis & Strategic Management	2024	out of TIM scope: domain application, not a technology-management task	2026-08-26
Inclusive generative AI and the dynamics of inequality: A capability-resource model of adoption disparities	https://doi.org/10.1016/j.techsoc.2026.103402	Technology in Society	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Critical success factors for GenAI digital products: From technology–market duality to a Technology–Market–Ethics triad	https://doi.org/10.1016/j.techsoc.2026.103456	Technology in Society	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Governing digital innovation ecosystems under risk and uncertainty: IP circulation, platform dependency, and policy orchestration in Korean content industries	https://doi.org/10.1016/j.techsoc.2026.103495	Technology in Society	2026	out of TIM scope: domain application, not a technology-management task	2026-08-26
Generative artificial intelligence and corporate innovation: Quantity boon or quality bane	https://doi.org/10.1016/j.techsoc.2026.103488	Technology in Society	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative Artificial Intelligence (GenAI) in the research process – A survey of researchers’ practices and perceptions	https://doi.org/10.1016/j.techsoc.2025.102813	Technology in Society	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Decoding AI innovation: How R&D alliances drive technological breakthrough	https://doi.org/10.1016/j.techsoc.2025.103165	Technology in Society	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
A counselor-inspired agent framework for AI counselors to enhance client engagement	https://doi.org/10.1016/j.techsoc.2025.103045	Technology in Society	2025	out of TIM scope: domain application, not a technology-management task	2026-08-26
Voices in the digital storm: Unraveling online polarization with ChatGPT	https://doi.org/10.1016/j.techsoc.2024.102534	Technology in Society	2024	out of TIM scope: domain application, not a technology-management task	2026-08-26
The role of task breadth and cognitive flexibility in generative AI-supported creative idea generation	https://doi.org/10.1016/j.technovation.2026.103540	Technovation	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Generative AI usage and improvisation capability: The mediating role of technological affordances and the moderating role of task uncertainty	https://doi.org/10.1016/j.technovation.2026.103535	Technovation	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Mapping artificial intelligence research in the cultural and creative industries: A systematic bibliometric review	https://doi.org/10.1016/j.technovation.2026.103551	Technovation	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
What makes an effective ideator? The distinct roles of cognition, personality, and experience in early-stage venture ideation	https://doi.org/10.1016/j.technovation.2026.103683	Technovation	2026	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Artificial intelligence and the reconfiguration of NPD Teams: Adaptability and skill differentiation in sustainable product innovation	https://doi.org/10.1016/j.technovation.2025.103254	Technovation	2025	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
Artificial intelligence and innovation management: Charting the evolving landscape	https://doi.org/10.1016/j.technovation.2024.103081	Technovation	2024	impact/adoption study, not an LLM system applied to a TIM task	2026-08-26
